sample_id,Document,Human-made Reference,MLX 4-bit
453,"The 80ft (24.3m) structure will be located on a raised part of the seafront in Redcar, at the site of the former Leos night club.
It will have a viewing platform, a studio, galleries and a cafe.
Work is due to start on the town's sea defences in early 2011, and the construction of the vertical pier is set to begin in the autumn.
Councillor Sheelagh Clarke, cabinet member for culture, leisure and tourism, said: ""The public told us that they wanted to see unique attractions in Redcar that do not replicate those of other resorts.
""The vertical pier will create a point of interest to attract people to Redcar and re-ignite interest in the town as a place to visit.""",Plans for a vertical pier in a Teesside coastal town have been given the go-ahead by council planners.,The vertical pier in Redcar will be built to attract unique attractions and re-ignite interest in the town as a tourist destination.
454,"Media playback is not supported on this device
Coe, 59, became boss of the body that governs world athletics last August after eight years as a vice-president.
Since then, the IAAF has come in for heavy criticism, accused of helping cover up systematic doping in Russia.
But Dick Pound, whose report damns IAAF governance, insists he ""can't think of anyone better"" than Coe to lead it.
""I think it's a fabulous responsibility for the IAAF to seize this opportunity and, under strong leadership, to move forward,"" said Pound, chairman of the independent World Anti-Doping Agency (Wada) panel which wrote the report.
""There's an enormous amount of reputational recovery that needs to occur here and I can't think of anyone better than Lord Coe to lead that.""
Media playback is not supported on this device
Pound's 89-page report concluded that corruption within the IAAF ""cannot be blamed on a small number of miscreants"".
It was also particularly scathing of former IAAF president Lamine Diack, who stood down and was replaced by Coe after 16 years in charge.
It concluded the Senegalese was ""responsible for organising and enabling the conspiracy and corruption that took place in the IAAF"".
The report also claimed the IAAF Council, which included Coe, ""could not have been unaware of the extent of doping in athletics"".
Coe, a former British MP, was present at Pound's news conference, having insisted on Wednesday there had been no cover-up.
He also said he had no intention of standing down.
Following the report's publication, Coe admitted: ""I know how serious this is. We are a failed organisation.
""I'm sorry if my language has in any way demonstrated a sort of a lack of understanding about the depth of this.""
He told BBC Sport that the IAAF - the International Association of Athletics Federations - would ""redouble our efforts, to be clear to people we are not in denial"".
And Coe re-emphasised: ""My responsibility is to absorb the lessons of the past and to shape the future. The changes I am making will do that. The road back to trust is going to be a long one.""
Diack is firmly in the line of fire. The report also concluded he:
This section of the report is particularly scathing:
""The corruption that occurred within the IAAF was not at the level of some foreign currency trader in a bank carrying out unauthorised transactions, without the knowledge or permission of the responsible bank officers.
""Here it started with the president of the organisation. It involved the treasurer of the organisation. It involved the personal counsel of the president, acting on instructions of the president. It involved two of the sons of the president. It involved the director of the medical and anti-doping department of the IAAF.
""The corruption was embedded in the organisation. It cannot be ignored or dismissed as attributable to the odd renegade acting on his own.
""The IAAF allowed the conduct to occur and must accept its responsibility. Continued denial will simply make it more difficult to make genuine progress.""
BBC sports editor Dan Roan quizzed the former boss of Wada.
Media playback is not supported on this device
It was already reeling from a number of damaging revelations and was strongly criticised for its failure to tackle doping.
In fact, it was only after Pound accused Russia of systematic doping practises in the first part of his report last November that the IAAF stepped in and banned Russian athletes from competition.
Pound said: ""The commission has been troubled by the apparent unwillingness of the IAAF to acknowledge that the conduct does indeed reflect on the IAAF and that it must assume its responsibilities for what went wrong.""
Worse could follow for the IAAF, too. French police have issued a 'wanted' notice via Interpol for Papa Massata Diack, the son of the former IAAF president Lamine, on charges of corruption and money-laundering.
On the day of his election in August, Coe said suggestions his organisation was complicit in a doping scandal were ""just inaccurate"".
Thursday's allegations call into question that argument.
They also add to the pressure on a man who has been a key figure within the IAAF since 2007, when he was made a vice-president.
The report says Coe's right-hand man Nick Davies, who stepped aside from his position as the association's chief of staff last month, was ""well aware of Russian 'skeletons' in the cupboard"".
Coe, who led London's successful staging of the 2012 Olympics and Paralympics, became IAAF president last year.
In an IAAF statement hours after the report was published, it said it ""fully acknowledges and accepts the extreme gravity of the commission's findings"".
In the statement, Coe said he ""cannot change the past"", but would ""not repeat its mistakes"".
Coe has again come out out fighting, as he did following part one of the Wada report - and he still has his backers. There's Pound, for a start, as well as Brendan Foster - the British former long-distance runner - who said his close friend was still the right man to lead the IAAF.
""He's hurting with all this,"" said the former British middle-distance runner, prior to Thursday's announcement. ""But Seb Coe is determined like no-one else can be determined. He's going to change this thing.""
Michele Verroken, the former head of anti-doping at UK Sport, is also backing Coe to lead the IAAF out of trouble.
""If not Seb, who?"" she asked. ""Quite honestly, he is very capable of doing this. It's a matter of whether he gets the support to do it.""
IAAF ambassador Kajsa Bergqvist, Sweden's world and European champion and an Olympic bronze medallist, said she met Diack 15 to 20 times and that he ""was always a person probably more interested in the power his office gave him than he was in the sport itself"".
Wada president Craig Reedie called the actions ""criminal"" and ""hugely disturbing"", while sports minister Tracey Crouch said the findings of the report were ""extremely alarming"".
Former Great Britain athletes Roger Black and Kriss Akabusi both said there were no major surprises in the report, and backed Coe, as did marathon world record holder Paula Radcliffe.
She said: ""To single out Seb that he had an inclination of what was going on - I don't believe he did. I believe he had heard rumours, knew things needed to change, which is why put he put himself on the line and ran for presidency.
""If we attack and attack, then he might say 'it is not worth it'. It is then athletics' loss.""
However, Akabusi described the IAAF president as ""naive"" for not being aware of the scale of Russian doping.
""He was a world-class athlete and he's going to need to be a world-class administrator and politician now,"" said Akabusi.
Meanwhile, Russia sports minister Vitaly Mutko called the report ""absurd"", claiming it was ""almost accusing"" the nation's president Vladimir Putin ""of doping"".
BBC Radio 5 live athletics correspondent Mike Costello:
""Lord Coe's reputation is on the line, especially with what he's been saying about Lamine Diack being the 'spiritual leader' of the sport.
""Time after time he said there was no cover-up, but of course there was a cover-up, Wada chairman Dick Pound said today.
""There has to be some guilt by association for Coe. Yet within athletics there is a feeling that if not Seb Coe then who else?""
BBC Radio 5 live sports news correspondent Richard Conway:
""Athletics is still in a grip of a huge crisis and the report shows deep-rooted corruption within the IAAF.
""Lord Coe says he is the right man to lead the organisation but given the report said the ruling council, which Coe was a member of, could not have been unaware of doping problems, that is going to be a significant issue for him.
""Yet that backing from Wada chairman Dick Pound is crucial because without it Coe would be facing a tougher task to keep his role as IAAF president.
""Now he has a bit of political capital to take forward.""","Lord Coe is the right man to lead the crisis-hit IAAF, according to the author of a report claiming ""corruption was embedded"" within the organisation.","would not stand down as president.
The report's findings are not surprising to those who have followed the IAAF's history.
The body has been criticised for years for its handling of doping, particularly in Russia, where it has been accused of covering up the extent of the problem.
The report's findings are not surprising to those who have followed the IAAF's history. The body has been criticised for years for its handling of doping, particularly in Russia, where it has been accused of covering up the extent of the problem."
455,"They held private meetings with Theresa May in the wake of the Hillsborough inquests, which ended in April.
Jurors found the fans who died as a result of the 1989 crush were unlawfully killed.
The families also complained about the conduct of South Yorkshire Police.
They called on the home secretary to put the force into remedial measures.
It is understood the proposed 'Hillsborough Law' would seek to place a further onus on those in public office to cooperate positively with investigations.
The families were told about developments in two ongoing criminal investigations into the disaster at the meetings with the home secretary, which were held in Warrington.
Theresa May has previously praised the dignity and determination of the victims' relatives.
Chair of the Hillsborough Family Support Group, Margaret Aspinall, whose son James died in the disaster, said: ""I myself for the very first time felt - I'm sure the families did as well - that at last there's a home secretary that's actually listening to them.""
The home secretary has met some Hillsborough families before, but this is the first time that she's spoken directly to them since the inquests ended.
Theresa May spent several hours in Warrington, meeting separately with the two main groups of relatives.
The atmosphere was said to be heated, with some of the families complaining directly to her about the conduct of South Yorkshire Police during the inquests.
Some relatives asked for assurances that there will be criminal prosecutions, and I'm told that they wanted to make sure that the home secretary personally understood the emotional toll that the two-year inquests have taken.
Although the Hillsborough families welcomed the jury's finding of unlawful killing, they know that many months of uncertainty lie ahead before they find out whether criminal trials will follow.
The Independent Police Complaints Commission revealed that 19 people have refused to assist with their probe into the conduct of officers from West Midlands Police, which investigated the tragedy.
The watchdog has now handed files on suspects to the Crown Prosecution Service in its largest-ever inquiry into alleged criminality and alleged police misconduct.
The IPCC has contacted 258 officers and staff members involved in the investigation into the tragedy and a total of 161 statements have been taken.
The watchdog said: ""Our intention remains to submit full files of evidence to the CPS by the turn of the year to enable decisions to be made on whether any individuals should be charged.""","Relatives of the 96 people who died at Hillsborough have told the home secretary they want a ""Hillsborough Law"" to compel public officials to tell the truth at inquiries.",Theresa May met privately with Hillsborough families to address allegations of police misconduct and the ongoing criminal investigation into the disaster.
456,"Friars Walk has been years in the planning and the development ground to a halt in the 2008 financial crisis.
Now it is opening with Debenhams as its anchor store and retailers such as Marks and Spencer moving back.
Newport Council lent the developers £90m in a commercial deal to ensure the centre opened on time.
Council leader Bob Bright said there had been a renaissance over the last decade and people ""underestimated Newport"".
As well as 30 new shops, there will be about a dozen restaurants and an eight-screen Cineworld multiplex cinema.
Welsh fashion designer Julien Macdonald opened the Debenhams store.
Newport Council borrowed £90m at a lower rate of interest and then lent it on to the developers in a ""calculated risk"" to ensure the project was built.
""Everything in life is risky but we were at an impasse when the developer was unable to raise the funds in the money markets because of the interest rates,"" said Mr Bright.
""We took the innovative step of using public money to develop Friars Walk.""
""We didn't do it blindly, we will make a profit on the financial deal of several million pounds and we have a negotiated agreement where we will participate in the profit when the centre, as I believe it will be, is sold eventually.
""It's a commercial deal with is good for Newport and it will make a profit.""
The complex is estimated to create 1,200 jobs within its shops and restaurants.
Queensberry Real Estate started building the development in April last year.
Bob Evans, who runs the Waterloo pub and restaurant near the dock gates, said he hoped it would benefit the whole city.
""It's been really hard but Newport is up and coming now. This is good for Newport, it will bring in lots of people who currently go to Cwmbran or Cardiff to shop and bypass us.""
Conservative shadow business minister William Graham's family surveying firm has history going back to 1844 in the city centre.
He added:  ""It will provide the impetus for Newport city centre to re-emerge as the both the premier retail district in this region and the centre for social and cultural entertainment"".","Newport's multi-million pound new shopping centre has opened, in what is seen as a landmark for the city centre's regeneration.","The Friars Walk development, funded by Newport Council, is being revitalized into a mixed-use complex with anchor stores, new shops, restaurants, and a cinema, benefiting the city's economy and attracting shoppers from surrounding areas."
457,"The changes will see the workforce drop by 85,000, from 135,000 to 50,000.
The group has been forced to restructure after the collapse of commodity prices slashed profits.
Anglo will also suspend dividend payments for a year, and consolidate from six to three businesses.
All the world's big mining companies have seen profits tumble along with plunging commodity prices as demand from China has slowed.
The price of oil is at seven-year lows, as is copper, and on Tuesday the price of iron ore tumbled to a 10-year low of $39.60 a tonne, after reaching a peak near $200 in 2011.
As part of the restructuring, Anglo American's diamonds business will be run by its De Beers subsidiary, its platinum and base metals operations will come under Industrial Metals, and its Bulk Commodities division will concentrate on coal and iron ore.
A company spokesperson said the job cuts would be made through asset sales and internal cuts:  ""Bear in mind that these include assets that we will sell, so the 85,000 jobs don't [all] disappear as many will be employed by new owners of  those mines that we sell.""
Anglo will sell its phosphates and niobium businesses during 2016 and plans $3.7bn in cost and productivity improvements by 2017.
Chief executive Mark Cutifani said: ""While we have continued to deliver our business restructuring and performance objectives across the board, the severity of commodity price deterioration requires bolder action.""
Anglo's share price has fallen by more than two-thirds over the past year. Today they fell 12.3% to 323.65 pence. In February 2011, the shares traded for more than Â£34 each.
Shares in other major mining companies also saw sharp falls in trading in London on Tuesday. Glencore was down 9.3%, Rio Tinto fell 6.3% and BHP Billiton was 5.8% lower.
""Anglo American, like all of its counterparties in the mining sector, has found there is no more fat to be cut and, as had been speculated for the last week, it had to face the reality that it could no longer pay out the dividend,"" said Alastair McCaig, market analyst at IG.
""Where one goes, others will follow and the possibility that BHP Billiton or Rio Tinto might be forced into similar action now looks increasingly likely.""",Shares in mining firm Anglo American have fallen to a record low as the company said it would sell huge chunks of its business and shrink its workforce by nearly two-thirds.,"Anglo American, facing severe cuts in profits due to declining commodity prices, is laying off 85,000 workers and suspending dividend payments, as other major mining companies also see their shares fall sharply."
458,"Timothy Russell and Malissa Williams died in 2012 in a barrage of bullets fired by 13 officers in a car chase.
Michael Brelo, 31, the only officer to be charged, was cleared of voluntary manslaughter at the court in Cleveland.
The US has seen a series of police race-related killings, some of which have led to serious civil unrest.
In Cleveland itself, the police shooting last November of a 12-year-old black boy, Tamir Rice, as he waved a replica firearm, fuelled the national debate over police use of deadly force.
The ruling has caused anger in the community but protests held after the verdict have been peaceful.
Protesters gathered outside the cordoned-off courthouse, some chanting, ""Hands up, don't shoot!""
They later marched from the courthouse to the recreation centre where Tamir Rice was shot.
Some 200 people also held a mock funeral procession in the city, carrying a black coffin and singing to mark six months since the shooting of Tamir Rice. Some held signs that said: ""Will I be next?""
Analysis: BBC North America correspondent Rajini Vaidyanathan
The dramatic car chase that ultimately led to the deaths of Timothy Russell and Malissa Williams happened more than two years ago, but many are hearing their story for the first time.
Police shootings aren't uncommon, but events in Ferguson and more recently Baltimore have propelled these issues to the top of the agenda, forcing America to take a long hard look at the way it handles these cases. In this instance, the judge decided to acquit Michael Brelo - a conviction required a burden of proof he believed wasn't there.
But recent protests on the streets of Cleveland show that campaigners are keeping up momentum in raising the wider issues of police brutality. Earlier this week activists took to the streets to highlight the number of black women victims of police violence. The #SayHerName #BlackWomenMatter campaign is designed to raise awareness of black female victims, who don't always attract the same level of media attention.
Police Chief Calvin Williams vowed to support peaceful protest but warned the city would not tolerate violence.
The case involving the deaths of Russell, 43, and Williams, 30, had sparked a department of justice inquiry that concluded Cleveland police had engaged in a pattern of excessive force and violation of civil rights.
Only Mr Brelo was charged because prosecutors said the pair in the car were no longer a threat when he climbed on to the bonnet of their car and fired 15 shots through the windscreen in 7.4 seconds.
But the judge said that as other officers had fired in a 137-shot barrage, he could not rule beyond reasonable doubt that Mr Brelo was responsible for the deaths.
Cuyahoga County Common Pleas Judge John O'Donnell also cleared Mr Brelo of the lesser count of felonious assault.
The judge said he would not ""sacrifice"" Mr Brelo if the evidence did not warrant conviction.
""Guilty or not guilty, the verdict should be no cause for a civilised society to celebrate or riot,"" he said.
County prosecutor Timothy McGinty said he was ""profoundly disappointed"" with the verdict.
Russell's sister, Michele, said Mr Brelo would not ""dodge this just because he was acquitted. God will have the final say.""
Mr Brelo had faced up to 22 years in jail if convicted of voluntary manslaughter.
The incident occurred when the car, a Chevy Malibu, backfired while speeding past Cleveland police HQ, and officers thought a gun had been discharged.
Some 62 police cars were then involved in a 22-mile chase at speeds up to 100 mph.
Both Russell and Williams had previous convictions and a crack pipe was found in the car.
Mr Brelo's lawyer, Patrick D'Angelo, said his client had risked his life during the chase and that the prosecution of the case was ""vicious and unprofessional"".
There have been a number of deaths at the hands of police in the US that have sparked race-related protests.
The two most serious were in Ferguson, Missouri, and in Baltimore.
In April, Freddie Gray died in hospital a week after Baltimore police had taken him into custody.
His death sparked weeks of protests and later riots and looting in the city.
In Ferguson, teenager Michael Brown was killed last August by a white police officer. Protests followed, and there was further unrest after a grand jury decided not to charge the officer.",A US policeman who climbed on to a car bonnet and fired repeatedly through the windscreen at unarmed black occupants has been cleared of all charges.,"In Cleveland, Michael Brelo was acquitted of the manslaughter charge in the shooting deaths of Timothy Russell and Malissa Williams, leading to ongoing protests and calls for police reform."
459,"The West Midlands officer and two other men are being questioned on suspicion of conspiracy to pervert the course of justice.
Police said they were given ""false and malicious information"" suggesting an officer was to ""be kidnapped as part of a terrorist plot"".
West Midlands police were put on high alert because of the hoax.
The three Birmingham men are questioned by anti-terrorism and anti-corruption teams.
The 28-year-old officer at Birmingham West & Central Local Policing Unit has also been arrested on suspicion of misconduct in a public office and misuse of police systems.
The other men, aged 25 and 31, are also being questioned on suspicion of conspiracy to commit misconduct in a public office.
The force issued an alert to officers and staff after receiving the anonymous tip-off on 8 December last year.
It urged them to take extra precautions, including not wearing uniform during journeys to and from work.
""At a time when the national threat level was severe, the threat was considered credible and police acted swiftly to protect officers and police staff,"" a police spokesman said.
The three men are being questioned by detectives from West Midland Police's Anti-Corruption Unit, with support from the Counter Terrorism Unit.
A 31-year-old man, who was arrested on the day of the offence, was eliminated from inquiries and has been deported.","Three men, including a police officer, have been arrested following a hoax terror plot to kidnap an officer.",Three men in Birmingham are being questioned by police on suspicion of conspiracy to pervert the course of justice after receiving false information about a terrorist plot.
460,"The locomotive has also had its British Rail number, 60103, repainted on its cab.
It has been restored for York's National Railway Museum at a cost of £4.2m. Test runs were held in Cumbria and Lancashire in January and February.
It is due to make its first run between London and York on 25 February.
The trip will be its first official outing bearing its nameplates and sporting its new colours.
Andrew McLean, head curator at the museum, said: ""To finally get Flying Scotsman fully restored, looking exactly as she should, in steam and alive again will be a really special moment for many people.""
He said the shade of green chosen reflected how the engine would have looked during the 1950s and early-60s.
Ian Hewitt, from Lancashire-based Heritage Painting, said it had been a mammoth task to strip off the black paint and repaint the locomotive by hand.
""Twenty litres of undercoat, 30 litres of gloss and around 20 litres of varnish and there's about 85 litres of white spirit that we've gone through,"" he said.
""It's the pinnacle of our careers, and to now see it coming together on the world's most famous locomotive... it doesn't get any bigger for us.""
Flying Scotsman was originally built for the London and North Eastern Railway Company (LNER) in 1923 and ran daily between London and Edinburgh.
The locomotive went out of service in 1963 and spent 40 years in private ownership touring the world.
It was bought for the nation by the NRM in 2004, using £415,000 in public donations, a £365,000 gift from Sir Richard Branson and a £1.8m grant from the National Heritage Memorial Fund.
Restoration work had initially been due to be completed in 2011 but was delayed after cracks were found in the chassis.
Riley and Sons Ltd, of Bury, Greater Manchester, were appointed to complete the restoration work in 2013.",The end of Flying Scotsman's 10-year restoration project has been marked with it being repainted in traditional British Rail green livery.,"The British Rail locomotive Flying Scotsman, restored for the National Railway Museum in York, undergoes extensive repainting and restoration to its original 1950s green color, marking its first official steam-powered journey between London and York on February 25."
461,"The 36-year-old, who rejoined the club in the summer after nine years away, made a telling debut with a 90th-minute winner to get the Shrimps off and running for the new season.
Jim Bentley's side had to come from behind after debutant Mohamed Eisa gave the Robins the lead two minutes from the break in controversial circumstances.
Kyle Storer swung a free-kick in from from the left and after Danny Wright headed across goal, the summer signing was on hand to poke the loose ball home from close range - with the Shrimps furious that a push by Wright had not been seen by referee Antony Coggins.
The visitors went close to scoring a second six minutes after the restart when Jordan Grimes saw a close-range volley hit the post after an Alex Kenyon clearance fell perfectly for him.
Three minutes later the Shrimps levelled through Thompson, who slid in at the far post to steer home an excellent low cross from Aaron Wildig after a swift Morecambe counter-attack.
Thompson then provided the telling moment of a tight game at the death when he volleyed home from Vadaine Oliver's header across goal to take the points.
Match report supplied by the Press Association.
Match ends, Morecambe 2, Cheltenham Town 1.
Second Half ends, Morecambe 2, Cheltenham Town 1.
Foul by Michael Rose (Morecambe).
Jordan Cranston (Cheltenham Town) wins a free kick on the right wing.
Attempt saved. Dan Holman (Cheltenham Town) right footed shot from the left side of the box is saved in the centre of the goal.
Substitution, Morecambe. Sam Lavelle replaces Garry Thompson.
Substitution, Cheltenham Town. Dan Holman replaces Nigel Atangana.
Goal!  Morecambe 2, Cheltenham Town 1. Garry Thompson (Morecambe) right footed shot from the left side of the six yard box to the top left corner. Assisted by Vadaine Oliver.
Vadaine Oliver (Morecambe) wins a free kick in the defensive half.
Foul by William Boyle (Cheltenham Town).
Attempt missed. William Boyle (Cheltenham Town) right footed shot from the right side of the six yard box is close, but misses to the right.
Foul by Adam Campbell (Morecambe).
William Boyle (Cheltenham Town) wins a free kick in the attacking half.
Attempt missed. Carl Winchester (Cheltenham Town) right footed shot from outside the box is high and wide to the left.
Attempt blocked. Carl Winchester (Cheltenham Town) right footed shot from outside the box is blocked.
Substitution, Morecambe. Adam Campbell replaces Aaron Wildig.
Aaron Wildig (Morecambe) is shown the yellow card for a bad foul.
Foul by Aaron Wildig (Morecambe).
Jerell Sellars (Cheltenham Town) wins a free kick in the defensive half.
Attempt missed. Michael Rose (Morecambe) left footed shot from outside the box is close, but misses to the left.
Foul by Michael Rose (Morecambe).
Nigel Atangana (Cheltenham Town) wins a free kick on the right wing.
Foul by Mitchell Lund (Morecambe).
Jerell Sellars (Cheltenham Town) wins a free kick in the defensive half.
Corner,  Morecambe. Conceded by Jamie Grimes.
Foul by Rhys Turner (Morecambe).
Carl Winchester (Cheltenham Town) wins a free kick on the left wing.
Substitution, Morecambe. Rhys Turner replaces Kevin Ellison.
Attempt missed. Kyle Storer (Cheltenham Town) right footed shot from outside the box misses to the right.
Jerell Sellars (Cheltenham Town) wins a free kick in the attacking half.
Foul by Michael Rose (Morecambe).
Attempt missed. Michael Rose (Morecambe) left footed shot from outside the box is just a bit too high from a direct free kick.
Vadaine Oliver (Morecambe) wins a free kick in the defensive half.
Foul by Jordan Forster (Cheltenham Town).
Foul by Dean Winnard (Morecambe).
Mohamed Eisa (Cheltenham Town) wins a free kick in the defensive half.
Corner,  Cheltenham Town. Conceded by Alex Kenyon.
Corner,  Cheltenham Town. Conceded by Barry Roche.
Attempt saved. Kyle Storer (Cheltenham Town) right footed shot from outside the box is saved in the bottom right corner.
Foul by Michael Rose (Morecambe).",Two goals from the returning Garry Thompson gave Morecambe a dramatic opening day win over Cheltenham.,"oul by Kyle Storer (Cheltenham Town).
Michael Rose (Morecambe) wins a free kick in the defensive half.
Attempt saved. Kyle Storer (Cheltenham Town) right footed shot from the left side of the box is saved in the centre of the goal.
Attempt saved. Kyle Storer (Cheltenham Town) right footed shot from the left side of the box is saved in the centre of the goal.
Attempt saved. Kyle Storer (Cheltenham Town) right footed shot from the left side of the box is saved in the centre of the goal.
Attempt"
462,"We got a foretaste a couple of weeks ago when Europe Minister David Lidington delivered a Commons statement on the government's demands for a renegotiation of Britain's EU membership.
The reaction from the hard core of backbench ""outers"" was summed up by Bernard Jenkin's dismissive comment, ""Is that it?""
The government's promised in-out EU referendum was a vote-winner at the election, and probably essential to keep the lid on Tory euro-tension in the last parliament. But as the 2017 deadline appears on the horizon, it is prompting some Commons Tories to murmur of a ""Corn Laws-style split"" in the party.
Of course, historically, the Conservative Party has always been able to rely on a powerful instinct for unity, born of an equally powerful instinct for power.
But party history offers some warnings too. Issues that go to the heart of what the Conservative party is about can split it, and have split it.
In the 1840s, it was agricultural protection and the move to abandon the Corn Laws which protected the incomes of landowners.
In the 1900s, it was imperial protection and the idea of moving away from free trade to a customs union with the countries of the Empire.
And ever since the UK joined the EU, a growing - possibly now a majority - faction of the party has wanted out.
Those splits destroyed Tory governments - conjure up the ghosts of Robert Peel or AJ Balfour, ask John Major about his cabinet rebels - and recall that party management has never been David Cameron's strongest suit.
Next time, the dynamics of the promised referendum suggest that it could pull the Conservative party apart again.
The scenario works like this: polling suggests that, without substantial change in the UK's membership terms, the British public will vote to leave the EU - with immigration a particularly crucial area.
But most people will not assess the small print setting out changes to an intricate and little understood institutional structure.
Instead, they will look to figures they trust to tell them whether enough has changed. And in particular, that means Mr Cameron.
His will be the crucial voice in any effort to persuade the voters that he has delivered acceptable terms. This week's tough talking to other EU leaders on benefits for EU citizens is a public display of political hardball, for UK consumption, as well as an attempt to underline his determination.
But, assuming he does campaign to keep the UK inside the EU, the referendum will turn on how voters react when he says to them, ""Trust Me.""
The ""out"" side of the argument will have no option but to attack his personal credibility. Tory toes are already creeping across this line.
If you listen carefully to interviews by some ""outers"", they praise his past successes and talk about how his place in history has been secured by his victory in May. It's a subtle point, but what they're not doing is banging the normal party gong and hoping he will rule forever. And soon they will go further than that.
And for the prime minister and his heir-presumptive, Chancellor George Osborne, if they do - as seems almost certain - campaign to maintain British membership, the referendum will become a struggle for survival.
Whatever they say, the idea that they could campaign to stay in, then, after a vote to leave, pick themselves up, dust themselves down and negotiate the terms of a so-called Brexit, is met with frank incredulity.
In the anti-EU ranks they are quite clear - if their team wins, they'll hoist the trophy, run the victory lap and provide the captain.
Combine the certainty of attacks on the PM's personal credibility with the struggle for factional survival that's facing the current magic circle of the Conservative Party, and you have a sinister brew of malice and ambition certain to corrode Tory unity.
The more so if Labour is languishing in the polls with problems of its own.
Expect purges and punishments to be the order of the day. And whatever the referendum result, we know that there will be a Tory leadership campaign at the back end of this Parliament - into which this poison will seep.
In some ways, the worst-case scenario for Tory unity is a narrow vote to stay.
Scotland does not provide an encouraging precedent - a No to independence by an 11% margin has fed, rather than slain, the SNP.
A tighter result in an EU referendum could allow the ""out"" side to sustain a ""we wuz robbed"" mentality and treat the forthcoming leadership election (Mr Cameron has said he won't serve another term as PM) as a continuation of the referendum by other means.
A Conservative MP reminded me the other day that in 1975 Labour Prime Minister Harold Wilson campaigned for and won a mandate to keep Britain in the then EEC in a referendum - but eight years later his party fought a general election on a manifesto commitment to leave.
Parties, he said, can turn on a sixpence when they have to, even if such a handbrake turn can fling some passengers out of the vehicle altogether.
All of which raises the question, as the country staggers towards the 2020 general election, will there, by then, be any functional UK-wide political parties left?","The sheer pyrotechnics of Labour's internal feuding have mesmerised Westminster, but Conservative MPs should not titter too hard at their opponents' discomfort - they have their own civil war brewing.","The last thing the party wants is to be seen as a party of the rich, the powerful, the privileged, the elites, the elites - the party of the elite.
The party of the elite is not the party of the elite. And the party of the elite is not the party of the elite. And the party of the elite is not the party of the elite. And the party of the elite is not the party of the elite. And the party of the elite is not the party of the elite. And the party of the elite is not the party of the elite. And the party of the elite is not the party"
463,"The device was towed by a Navy bomb disposal team to a detonation site in the Solent, where a controlled explosion was carried out at 08:45 BST.
Some trains were halted and early ferries were delayed, following the find on Friday afternoon.
Wightlink Ferries said services were now back on schedule.
The train line between Portsmouth and Southsea and Portsmouth Harbour has also re-opened.
A spokesman for Portsmouth's Queen's Harbour Master said: ""We worked very hard to make sure the harbour was not closed.
""There were restrictions put in place for public safety and there was a certain amount of disruption to vessels earlier while the torpedo was towed out.""
Dredging work is being carried out in Portsmouth harbour to allow the the navy's new 65,000-tonne aircraft carriers to dock.
Three million cubic metres of sea bed is being removed to deepen and widen a 4 mile (7km) channel.
HMS Queen Elizabeth is due to be handed over to the MoD in 2016 ahead of being put into service in 2020.",A World War II torpedo has been blown up in the sea off the Isle of Wight after being dragged up from the seabed in Portsmouth Harbour.,"A naval bomb disposal team towed a torpedo from Portsmouth harbour to a controlled explosion in the Solent, disrupting trains and ferries, while dredging work deepens a channel for new naval vessels."
